volid,reviewed,obscure,pubdate,birthdate,gender,nation,allwords,logistic,author,title,pubname,actually,realclass
loc.ark+=13960=t5fb5nd8n,not,obscure,1887,1819,m,us,94887,0.316088645041,"Paxton, W. M.",Poems,,random,0
nyp.33433075789499,rev,known,1913,1878,f,us,38862,0.687157363025,"Evans, Florence Wilkinson.",The ride home;,PMV,reviewed,1
loc.ark+=13960=t6349841r,rev,known,1864,1821,m,us,33205,0.663663825228,"Tuckerman, Frederick Goddard,",Poems,ATL,reviewed,1
loc.ark+=13960=t7dr3b23n,not,obscure,1871,1835,m,us,12755,0.41581415987,"Le Cato, N. J. W.",Theodora and other poems,,random,0
nyp.33433066638408,rev,known,1880,1807,m,us,4107,0.602567455042,"Longfellow, Henry Wadsworth,",Ultima Thule,ATL,"Norton, in-set",1
loc.ark+=13960=t1jh41981,not,obscure,1853,0,m,us,3449,0.494888423623,"Buchanan, William B.","Baltimore, or, Long, long time ago",,random,0
uc2.ark+=13960=t7gq6s57q,not,obscure,1869,0,m,us,2680,0.303796071683,"Krause, William E. F.",The sanctity of marriage,,random,0
uc2.ark+=13960=t39z93k29,not,obscure,1819,1786,m,uk,25918,0.271096742606,"Woodley, George,",Cornubia,,random,0
uc2.ark+=13960=t0vq2v44m,rev,known,1904,1856,f,uk,18676,0.678095854733,"Woods, Margaret L.",Poems old and new,FR,reviewed,1
uc2.ark+=13960=t04x56b63,rev,known,1903,1865,f,uk,24057,0.644982734781,"Hope, Laurence,",Stars of the desert,FR,reviewed,1
nyp.33433066626783,rev,known,1890,1835,f,us,19279,0.61142446605,"Moulton, Louise Chandler,",In the garden of dreams,FR,reviewed,1
loc.ark+=13960=t6rx9vf7j,not,obscure,1913,0,,,10467,0.395817296983,"Courtney, T. Alcliffe.",Songs of love,,random,0
uc2.ark+=13960=t5db86m4v,not,obscure,1912,1881,f,us,4597,0.736274493223,"Henderson, Alice Corbin,",The spinning woman of the sky;,,random,0
uc2.ark+=13960=t8mc8v73b,rev,obscure,1900,1846,m,us,13758,0.567004173727,"Mifflin, Lloyd,",The fields of dawn and later sonnets,ATL,reviewed,1
loc.ark+=13960=t4qj7w512,not,obscure,1871,0,,,8195,0.378710425171,"Gates, Rozina. [from old catalog]",A panoramic view of the creation!,,random,0
hvd.hn8n81,not,obscure,1823,1795,m,us,51093,0.459218333457,"Percival, James Gates,",Poems,,random,0
uc1.b2828936,not,obscure,1889,0,f,,15125,0.519784629473,"Robertson, Janet Logie.",New songs of innocence,,random,0
uc1.l0071844237,rev,known,1820,1793,f,uk,88583,0.427830716228,"Hemans,",The sceptic ;,QR,"Norton, in-set",1
loc.ark+=13960=t2891sx2w,rev,known,1871,1825,m,us,36257,0.589972168191,"Stoddard, Richard Henry,","The book of the East, and other poems",ATL,reviewed,1
hvd.hwh1bt,not,obscure,1841,1776,m,uk,198517,0.364828822591,"Fitchett, John,",King Alfred,,random,0
nyp.33433066651138,rev,known,1914,1879,m,us,19161,0.596427967937,"Lindsay, Vachel,",The Congo and other poems,PMV,reviewed,1
nyp.33433074899968,not,obscure,1852,1793,f,uk,20528,0.464737397104,"MacLean, Anna Jane.",Eman More,,random,0
nyp.33433066640792,rev,known,1870,1830,f,us,18900,0.638648669278,"Jackson, Helen Hunt,",Verses,ATL,reviewed,1
uc2.ark+=13960=t1kh0gm2b,rev,known,1870,1843,m,uk,15982,0.630747392819,"Myers, F. W. H.",Poems,BM,reviewed,1
uc2.ark+=13960=t17m08m38,not,obscure,1840,1809,m,uk,8990,0.596147402826,"Hanmer, John Hanmer,",Sonnets,,random,0
nyp.33433045638883,not,obscure,1905,1838,m,us,31029,0.548518386367,"Hay, John,",The complete poetical works of John Hay,,random,0
loc.ark+=13960=t18k7vr3q,rev,known,1887,1847,m,us,12638,0.48100304721,"Roche, James Jeffrey,",Songs and satires,ATL,reviewed,1
uc2.ark+=13960=t4pk09t89,not,obscure,1880,1830,m,,40226,0.47099056692,"St. John, Charles Henry.",Country love and city life,,random,0
mdp.39015065549217,rev,known,1880,1850,m,uk,36227,0.684256175222,"Marston, Philip Bourke,",Wind-voices,FR,reviewed,1
mdp.39015066062160,rev,known,1896,1859,m,uk,10220,0.603653498758,"Housman, A. E.",A Shropshire lad,FR,"Norton, in-set",1
loc.ark+=13960=t4pk0vn19,rev,known,1913,1874,m,us,6217,0.666576376239,"Frost, Robert,",A boy's will,PMV,"Norton, in-set",1
uc2.ark+=13960=t9c53mb7v,rev,known,1900,1869,m,uk,10294,0.664038909734,"Binyon, Laurence,",Odes,FR,reviewed,1
loc.ark+=13960=t63494g1k,not,obscure,1907,1876,m,us,4785,0.490293433538,"Creel, George,",Quatrains of Christ,,random,0
loc.ark+=13960=t1fj32s97,not,obscure,1859,1834,m,us,28674,0.277194035136,"Carhart, John Wesley,",Sunny hours,,random,0
uc2.ark+=13960=t3610z72h,not,obscure,1893,1865,m,us,12617,0.456078365616,"Merkley, George Earle,",Canadian melodies and poems,,random,0
loc.ark+=13960=t2g740m4m,not,obscure,1870,0,,,17247,0.449103731354,"Atkinson, Mary Ellen.",Ivy leaves,,random,0
loc.ark+=13960=t5k93s659,rev,known,1894,1844,m,us,20789,0.600412103868,"Williams, Francis Howard,",The flute-player and other poems,ATL,reviewed,1
mdp.39015031228516,rev,known,1907,1871,m,uk,9761,0.609343384255,"Davies, W. H.",New poems,FR,reviewed,1
njp.32101025285659,rev,known,1862,1819,m,uk,40898,0.535414021655,"Clough, Arthur Hugh,",Poems,BM,reviewed,1
loc.ark+=13960=t19k4z26m,not,known,1860,1806,m,us,71374,0.592183131398,"Willis, Nathaniel Parker,","The poems, sacred, passionate, and humorous, of Nathaniel Parker WIllis",,random,0
uc2.ark+=13960=t8x924t2m,not,obscure,1872,0,,,20344,0.362138780408,"Harvey, Ellen T. H.",Wilderness and Mount,,random,0
nyp.33433004008284,not,obscure,1856,1812,m,us,21886,0.392931437517,"Prime, Samuel Irenæus",The smitten household,,random,0
nyp.33433066625637,not,obscure,1869,1831,m,us,41331,0.363746425891,"Peffer, William Alfred,",Myriorama,,random,0
uc1.b165755,not,obscure,1881,1863,f,us,22328,0.668412211969,"Eastman, Elaine Goodale,",All round the year,,random,0
loc.ark+=13960=t10p1hx6j,rev,known,1916,1878,m,us,5755,0.647570985855,"Arensberg, Walter,",Idols,PMV,reviewed,1
uc2.ark+=13960=t5p848b89,not,obscure,1914,1828,m,uk,7897,0.436801471323,"Bonus, John,",Thoughts in verse for my friends,,random,0
uc1.b167500,rev,known,1855,1816,m,uk,30552,0.461396749658,"Bailey, Philip James,",The mystic and other poems,ER,reviewed,1
loc.ark+=13960=t76t19455,not,obscure,1917,1890,m,us,14259,0.444040593789,"Bachtell, Paul B.",At Lucifer's portals,,random,0
njp.32101013202740,rev,known,1890,1865,m,uk,32108,0.555236042463,"Kipling, Rudyard,",Barrack-room ballads,FR,"Norton, in-set",1
loc.ark+=13960=t9d519g22,not,obscure,1883,1818,m,us,21614,0.284070968434,"Underwood, John,",El muza,,random,0
njp.32101063702987,not,obscure,1881,1820,m,us,9700,0.327480317334,"Randolph, Anson D. F.",Easter chimes,,random,0
uc2.ark+=13960=t6c24sg58,rev,known,1823,1779,m,uk,15889,0.539187936106,"Moore, Thomas,",The loves of the angels,ER,reviewed,1
loc.ark+=13960=t3nw08094,not,obscure,1871,1839,f,us,19073,0.509376515786,"Spalding, Lucy Billings,","The ruined statues, and other poems",,random,0
uc2.ark+=13960=t5bc3tb51,rev,known,1880,1852,m,us,21677,0.399027111602,"Peacock, Thomas Brower,",The rhyme of the border war,ATL,reviewed,1
uc2.ark+=13960=t3ws8kz7m,rev,known,1898,1859,f,uk,8260,0.682470441173,"Tynan, Katharine,",The wind in the trees;,FR,reviewed,1
njp.32101049721457,not,obscure,1896,1861,m,uk,7802,0.458130457603,"Ainslie, R. St. John",Sedbergh school songs,,random,0
loc.ark+=13960=t6tx46241,rev,known,1872,1826,f,us,16442,0.56246320187,"Turner, Eliza (Sproat)",Out-of-door rhymes,ATL,reviewed,1
nyp.33433075831325,not,obscure,1905,1860,m,us,7429,0.54542772773,"Grant, Percy Stickney,",Ad matrem,,random,0
loc.ark+=13960=t40s0803k,not,obscure,1918,1876,m,us,16059,0.466338774189,"Jenness, Burt Franklin,",Man-o'-war rhymes,,random,0
uc1.b274748,not,obscure,1870,0,f,us,37123,0.226303343896,"Stephens, Lydia W.",Heart Problems,,random,0
loc.ark+=13960=t63495d13,not,obscure,1892,1845,m,us,31686,0.455722697126,"Carleton, Will,",City festivals,,random,0
nyp.33433075777346,not,obscure,1845,1784,m,us,70394,0.438065692995,"Oehlenschläger, Adam Gottlob,",The gods of the North,,random,0
njp.32101067300184,not,obscure,1862,1807,m,uk,16887,0.393411470855,"Park, Andrew,",The world,,random,0
nyp.33433076034895,not,obscure,1831,1796,m,us,19512,0.56749884947,"Hill, George,",The ruins of Athens,,random,0
uc2.ark+=13960=t3hx15z6g,not,obscure,1869,1824,m,us,10819,0.547351857112,"Watson, J. W.",Beautiful snow,,random,0
nyp.33433074846878,rev,known,1849,1812,m,uk,38584,0.604067814414,"Browning, Robert,",Poems,GrM,"Norton, in-set",1
loc.ark+=13960=t3cz3pj65,not,obscure,1873,1820,m,us,6179,0.467941319728,"Case, Leonard,",Treasure trove;,,random,0
loc.ark+=13960=t7wm1rg17,not,obscure,1907,0,f,us,15900,0.665417271102,"Johnson, Felicia Ross. [from old catalog]",Seamstress and poet,,random,0
loc.ark+=13960=t5s75wn6s,rev,obscure,1874,0,,,27555,0.59389862454,"Hudson, H. R.",Poems,ATL,reviewed,1
loc.ark+=13960=t1cj90444,not,obscure,1896,1817,f,us,42296,0.367895658223,"Ramsey, V. G.",A censer;,,random,0
uc2.ark+=13960=t1xd0tj53,not,obscure,1863,1832,m,uk,46164,0.321973983229,"Shipley, Orby,",Lyra eucharistica,,random,0
uc1.b158350,rev,known,1866,1841,m,uk,47567,0.701641594999,"Buchanan, Robert Williams,",London poems,FR,reviewed,1
loc.ark+=13960=t1gj02d1m,not,obscure,1854,1807,f,us,39919,0.432972117061,"Hewitt, Mary E.",Poems,,random,0
uc2.ark+=13960=t42r42k8x,rev,known,1872,1824,m,uk,26765,0.555216713394,"Smith, Walter C.",Olrig Grange,FR,reviewed,1
loc.ark+=13960=t42r4b17k,not,obscure,1914,1871,f,us,10056,0.396256591115,"Hinckley, Mercy Adeline,",Life-colors,,random,0
uc2.ark+=13960=t1td9p63g,not,obscure,1912,1853,m,us,18229,0.457982424828,"Peterson, Edmund Deacon.","Eros, and other poems",,random,0
uc1.b167470,rev,known,1853,1832,m,uk,26857,0.559375296713,"Arnold, Edwin,","Poems, narrative and lyrical",WR,reviewed,1
nyp.33433076031859,not,obscure,1897,1849,m,us,19147,0.549121972849,"Riley, James Whitcomb,",The poems and prose sketches of James Whitcomb Riley,,random,0
uc2.ark+=13960=t12n5658q,rev,known,1915,1886,f,uk,2290,0.699774707831,"Cornford, Frances Darwin,",Spring morning,EGO,reviewed,1
nyp.33433075807317,rev,known,1893,1869,m,us,14467,0.565954015313,"McCulloch, Hugh,",The quest of Heracles and other poems,ATL,reviewed,1
uc2.ark+=13960=t0bv7gp3c,not,obscure,1874,0,,,28772,0.442922214902,anonymous4,Lays of the Belvoir Hunt,,random,0
loc.ark+=13960=t6n01p000,not,obscure,1886,1856,m,us,30556,0.461461485657,"Hale, William,",Shore life in song,,random,0
uc1.b119720,not,obscure,1875,1829,m,uk,28388,0.516867886379,"Veitch, John,","The Tweed, and Other Poems",,random,0
loc.ark+=13960=t2w38b121,not,obscure,1860,0,,,20274,0.409860396575,"Coutts, W. G. [from old catalog]",The games,,random,0
njp.32101067646750,rev,known,1864,1835,f,us,16221,0.485435477139,"Hooper, Lucy Hamilton,",Poems;,ATL,reviewed,1
mdp.39015028372848,not,obscure,1853,1826,m,uk,20925,0.384071473836,Kālidāsa.,The birth of the war-god,,random,0
uc1.b4100799,rev,known,1915,1883,f,uk,5201,0.580003085667,"Wickham, Anna,",The contemplative quarry,EGO,reviewed,1
loc.ark+=13960=t80k2xx3b,not,obscure,1870,0,m,us,39412,0.442012479709,"Henck, George Lewis. [from old catalog]",Poems,,random,0
mdp.39015060438739,not,obscure,1856,1814,m,uk,19201,0.32856144479,"Hiller, O. Prescott",The pleasures of religion and other poems,,random,0
uc1.32106001957635,rev,known,1872,1809,m,uk,14105,0.653054828706,"Tennyson, Alfred Tennyson,",Gareth and Lynette,FR,"Norton, in-set",1
njp.32101066457894,not,obscure,1871,1834,f,us,29268,0.372067987726,"Cooke, Belle W.",Tears and victory,,random,0
nyp.33433082209572,not,obscure,1901,1815,m,us,16115,0.295492468394,"Edgar, Timothy Bloomfield.","Poems, rhymes, and sayings",,random,0
uc1.b182439,rev,known,1856,1824,m,uk,39429,0.593016824786,"Dobell, Sydney,",England in time of war,ER,reviewed,1
uc1.b166346,not,obscure,1837,1752,m,uk,39479,0.310246136959,"Llwyd, Richard,","The poetical works of Richard Llwyd, the Bard of Snowdon",,random,0
uc1.b119842,not,obscure,1888,1836,f,us,28708,0.550067608641,"Mace, Frances Parker (Laughton)",Under pine and plam,,random,0
uc2.ark+=13960=t27945p5k,rev,known,1901,1849,m,uk,12371,0.610508057535,"Henley, William Ernest,","Hawthorn and lavender, with other verses",ATL,"Norton, in-set",1
uc2.ark+=13960=t80k27j8j,rev,known,1917,1888,m,us,4392,0.683908807494,"Eliot, T. S.",Prufrock and other observations,EGO,"Norton, in-set",1
loc.ark+=13960=t77s85d09,not,obscure,1901,1855,m,us,10155,0.425635507381,"Dunham, Sam C.",The goldsmith of Nome,,random,0
hvd.hwkq92,rev,known,1830,1808,f,uk,49296,0.557350309676,"Norton, Caroline Sheridan,","The undying one, and other poems",ER,reviewed,1
hvd.hwkq93,rev,known,1840,1808,f,uk,46679,0.524405514483,"Norton, Caroline Sheridan,",The dream,GrM,reviewed,1
uc2.ark+=13960=t8gf0nw9p,rev,obscure,1871,1837,m,uk,61986,0.454791831049,"McHenry, George.",Time and eternity,ATL,reviewed,1
uc1.b165933,rev,known,1854,1828,m,uk,43089,0.477157151521,"Massey, Gerald,",The ballad of Babe Christabel,ER,reviewed,1
uc2.ark+=13960=t16m34j1k,rev,known,1854,1823,m,uk,46488,0.548285882698,"Patmore, Coventry Kersey Dighton,",The angel in the house,ER,reviewed,1
mdp.39015059390164,rev,known,1857,1809,m,uk,26346,0.485166174246,"Blackie, John Stuart,",Lays and Legends of Ancient Greece,WR,reviewed,1
uc2.ark+=13960=t6pz52584,rev,known,1880,1809,m,us,13177,0.520498732834,"Holmes, Oliver Wendell,",The iron gate,ATL,"Norton, in-set",1
uc2.ark+=13960=t00z73601,rev,known,1816,1793,f,uk,2540,0.224254897758,"Hemans,",The restoration of the works of art to Italy,QR,"Norton, in-set",1
mdp.39015048998879,not,obscure,1885,1851,f,us,74286,0.612269724857,"Hapgood, Isabel Florence,",The epic songs of Russia,,random,0
mdp.39015030659935,rev,known,1902,1844,m,uk,9001,0.456016863805,"Bridges, Robert,",Bramble Brae,ATL,reviewed,1
uc1.b3626228,rev,known,1917,1889,m,us,22734,0.806908497121,"Aiken, Conrad,","Nocturne of remembered spring, and other poems",EGO,reviewed,1
uc2.ark+=13960=t57d2tm7m,rev,known,1819,1793,f,uk,29118,0.333463914336,"Hemans,",Tales and historic scenes in verse,QR,"Norton, in-set",1
nyp.33433074849278,not,obscure,1903,1853,m,us,19191,0.431321038091,"Faulkner, S. E. Sherwood.",Sea murmurs and woodland songs,,random,0
loc.ark+=13960=t5k93n92j,not,obscure,1884,1831,m,us,5017,0.55398248657,"Baxter, James Phinney,",Idyls of the year,,random,0
uc2.ark+=13960=t94748994,not,obscure,1917,1888,m,us,18319,0.651229247077,"Wood, Clement,",Glad of earth,,random,0
uc1.b3312256,not,obscure,1902,1842,m,uk,108765,0.662178277476,"Payne, John,",The poetical works of John Payne,,random,0
uc2.ark+=13960=t2k64b16p,rev,known,1866,1817,m,us,6470,0.340309958576,"Janvier, Francis De Haes,",Patriotic poems,ATL,reviewed,1
hvd.hnnzqj,rev,known,1835,1810,m,uk,21608,0.531951961957,"Alford, Henry,",The school of the heart,ER,reviewed,1
uc2.ark+=13960=t6736mr5n,not,obscure,1917,1888,m,us,4334,0.649456666024,"Aikins, Carroll.",Poems,,random,0
uc2.ark+=13960=t2s46hv0j,rev,known,1850,1807,m,us,14171,0.529753130152,"Whittier, John Greenleaf,",Songs of labor,GrM,"Norton, in-set",1
loc.ark+=13960=t00z7rp24,not,obscure,1868,0,,,2273,0.491032345241,anonymous6,The San Francisco fairy,,random,0
nyp.33433066657317,not,obscure,1912,0,,,9657,0.667392264969,"Shepard, Mary Norsworthy.",Where it listeth,,random,0
loc.ark+=13960=t72v3f90h,not,obscure,1859,0,m,us,3758,0.452271814479,"Russel, Charles Porter,",In tenebris,,random,0
loc.ark+=13960=t47p9ff2j,not,obscure,1901,1836,m,us,15120,0.545578179313,"Blood, Henry Ames,",Selected poems of Henry Ames Blood,,random,0
nyp.33433074961453,not,obscure,1914,0,,,9177,0.408701707413,"Tolman, Emily.",To a summer cloud,,random,0
loc.ark+=13960=t7wm1th1h,not,obscure,1902,1819,m,us,14767,0.461275950808,"McClintick, William Trimble. [from old catalog]",Verses written during a busy lawyer's life,,random,0
loc.ark+=13960=t3qv42x82,rev,known,1860,1824,m,uk,143781,0.626595468639,"Dobell, Sydney,",Poems,ATL,reviewed,1
njp.32101065604579,not,obscure,1820,0,f,uk,6936,0.467896864782,"Woodcock, Henry,",Laura,,random,0
loc.ark+=13960=t0tq6gq3d,rev,known,1868,1824,f,us,35192,0.546075658491,"Larcom, Lucy,",Poems,ATL,reviewed,1
loc.ark+=13960=t2s475v8n,not,obscure,1894,0,m,,11359,0.23098165727,"Battersby, John H. [from old catalog]",Poems patriotic,,random,0
uc2.ark+=13960=t0rr1v740,rev,known,1833,1805,m,uk,30244,0.30222646281,"Overton, Charles.",Ecclesia anglicana;,ER,reviewed,1
njp.32101064671389,not,obscure,1834,1792,m,uk,43842,0.351596024782,"Trenhaile, J.",Recreations in rhyme,,random,0
uc2.ark+=13960=t7pn9060k,rev,known,1896,1867,m,uk,17607,0.646747046447,"Dowson, Ernest Christopher,",The poems of Ernest Dowson,SAV,"Norton, in-set",1
nyp.33433074874185,rev,known,1839,1806,m,uk,31042,0.549983894767,"Sterling, John,",Poems,QR,reviewed,1
uc2.ark+=13960=t6zw19s10,rev,known,1892,1850,m,us,33676,0.49475095584,"Field, Eugene,",Second book of verse,ATL,reviewed,1
mdp.39015000595614,rev,known,1914,1882,m,us,20921,0.635596092277,"Oppenheim, James,","Songs, for the new age",PMV,reviewed,1
njp.32101067627149,not,obscure,1890,1828,m,us,16653,0.292019603214,"Anderson, Duncan,","Lays of Canada, and other poems",,random,0
uc2.ark+=13960=t9h41kc6j,not,obscure,1885,1856,f,us,15943,0.27105583042,"Jordan, Margaret E.",Echoes from the pines,,random,0
loc.ark+=13960=t6k07vz1r,not,obscure,1890,0,m,us,906,0.35797316433,"Stone, Jasper Jay. [from old catalog]",The veteran's qualifications for civil service,,random,0
loc.ark+=13960=t8cg05x2c,rev,known,1867,1803,m,us,6236,0.63055033883,"Calvert, George Henry,",Ellen: a poem for the times,ATL,reviewed,1
uc2.ark+=13960=t4cn71f36,rev,known,1907,1865,m,uk,22430,0.598349901966,"Ainslie, Douglas,",Mirage,FR,reviewed,1
nyp.33433066637236,not,obscure,1886,1823,m,us,12421,0.384644273522,"Harris, Thomas Lake,",The joy-bringer,,random,0
uc2.ark+=13960=t6qz27440,rev,obscure,1866,0,,,27889,0.399143714542,"Butchers, S. M.",A waif on the stream,WR,reviewed,1
loc.ark+=13960=t7vm4v20f,not,obscure,1887,1824,m,us,23610,0.392584360163,"Williams, Dwight,","The beautiful city in song, and other poems",,random,0
uc2.ark+=13960=t57d2rh5g,rev,obscure,1902,1859,m,us,14821,0.511429423821,"Millard, Bailey,",Songs of the press and other adventures in verse,ATL,reviewed,1
njp.32101067628659,rev,known,1893,1860,m,uk,4361,0.631989290716,"Barlas, John Evelyn,",Selections from Songs of a bayadere and Songs of a troubadour,YB,reviewed,1
mdp.39015030707155,rev,known,1901,1828,m,uk,15365,0.545159851022,"Meredith, George,",A reading of life,FR,"Norton, in-set",1
nyp.33433074843933,not,obscure,1846,1780,m,uk,36508,0.50850205792,"Croly, George,",The modern Orlando: a poem,,random,0
uc2.ark+=13960=t41r6ng25,not,obscure,1912,1874,m,us,38455,0.520630620563,"Underwood, John Curtis,",Americans,,random,0
hvd.hxdamf,not,obscure,1842,1802,m,us,10927,0.446428106278,"Pierce, Augustus",The rebelliad;,,random,0
uc1.b4107944,rev,known,1896,1830,f,uk,57084,0.582021614299,"Rossetti, Christina Georgina,",New poems by Christina Rossetti,BM,"Norton, in-set",1
nyp.33433076031099,not,obscure,1843,1787,f,us,132134,0.354640422368,"Davidson, Margaret Miller,",Selections from the writings of Mrs. Margaret M. Davidson,,random,0
uc2.ark+=13960=t75t3n448,not,obscure,1873,1849,m,uk,16213,0.356361653126,"Stewart, William John.",Scattered leaflets,,random,0
hvd.32044077933034,rev,known,1833,1793,m,uk,18243,0.363833099018,"Lyte, Henry Francis,",Poems,ER,reviewed,1
njp.32101063883340,rev,known,1829,1808,f,uk,23285,0.48630999073,"Norton, Caroline Sheridan,",The sorrows of Rosalie,GrM,reviewed,1
uc2.ark+=13960=t1hh6hw20,rev,known,1828,1759,m,uk,14379,0.369265214069,"Sharp, Richard,",Epistles in verse,QR,reviewed,1
uc2.ark+=13960=t88g8mb7n,not,obscure,1892,0,m,uk,8931,0.424238679784,"Daniel, H. C.",Love's minstrel,,random,0
nnc1.1002356570,not,obscure,1871,0,,uk,3162,0.368470774078,anonymous5,"Verses for the people, suitable to the times, by an Englishman",,random,0
nyp.33433076035140,rev,known,1845,1809,m,us,22790,0.516684117199,"Poe, Edgar Allan,",Poetical Works of Edgar Allen Poe,ATL,"Norton, in-set",1
uc2.ark+=13960=t40r9pj9p,not,obscure,1867,0,f,uk,65657,0.210057245819,"Sawers, Eliza.",Under a cloud,,random,0
njp.32101067172872,rev,known,1914,1886,m,uk,13705,0.654953721842,"Sassoon, Siegfried,",The old huntsman,PMV,"Norton, in-set",1
loc.ark+=13960=t4nk3w12z,rev,known,1886,1855,m,us,24523,0.630847789484,"Adams, Oscar Fay,",Post-laureate idyls,ATL,reviewed,1
loc.ark+=13960=t7zk64j0c,rev,known,1904,1860,m,us,9573,0.638876367853,"Sherman, Frank Dempster,",Lyrics of joy,ATL,reviewed,1
umn.31951d008327233,not,obscure,1874,1838,m,us,11713,0.239410828457,"Hall, C. A.","Songs for the Grange, dedicated to the Order of Patrons of Husbandry in the United States",,random,0
nyp.33433076014723,not,obscure,1820,1799,m,us,41104,0.444159437723,"Sands, Robert Charles,",The writings of Robert C. Sands,,random,0
mdp.49015002077973,rev,known,1855,1819,m,us,99458,0.556312598262,"Whitman, Walt,",Leaves of grass,WR,"Norton, in-set",1
loc.ark+=13960=t0gt62k04,not,obscure,1902,1839,f,us,18636,0.329712489347,"Wilder, Cordelia Beardsley.",Kitchen visits with the muses,,random,0
nyp.33433076020795,not,obscure,1867,0,,,53986,0.429829379434,"Wentworth, May.",Poetry of the Pacific,,random,0
uc2.ark+=13960=t02z17v0j,rev,known,1872,1834,m,uk,37901,0.606455601483,"Noel, Roden,",The red flag,FR,reviewed,1
loc.ark+=13960=t5k93s006,not,obscure,1854,1819,m,us,33464,0.545462809048,"Taylor, Benjamin Franklin,",January and June,,random,0
uc2.ark+=13960=t3dz0f69d,rev,known,1860,1807,m,us,27130,0.579960777063,"Whittier, John Greenleaf,",Home ballads and poems,ATL,"Norton, in-set",1
nyp.33433074890983,rev,known,1912,1878,m,uk,33874,0.645024520547,"Masefield, John,",The story of a round-house,PMV,reviewed,1
nyp.33433074844253,rev,obscure,1905,1876,f,uk,13496,0.69396652957,"Clifford, Ethel.",Love's journey,FR,reviewed,1
nyp.33433066644828,not,obscure,1915,1876,m,us,19720,0.41441727347,"Sanford, J. E.","His one tune, and a few others",,random,0
uc1.b165945,rev,known,1830,1807,m,uk,47528,0.439522099474,"Montgomery, Robert,","Satan, a poem",ER,reviewed,1
nyp.33433066571302,not,obscure,1887,1853,f,us,28351,0.356801091193,"Read, Jane Maria,",Between the centuries and other poems,,random,0
uc2.ark+=13960=t8x926w5s,not,obscure,1872,1828,m,uk,21489,0.663699384079,"Sawyer, William Kingston,",The legend of Phyllis,,random,0
uc1.b166949,rev,known,1866,1830,f,uk,20018,0.660664612862,"Rossetti, Christina Georgina,",The prince's progress and other poems,WR,"Norton, in-set",1
hvd.32044010164861,not,obscure,1814,1783,m,uk,39991,0.43073611898,"Nicholson, William,",[Tales in verse,,random,0
uc2.ark+=13960=t4pk0b904,not,obscure,1818,0,m,uk,14311,0.359728620087,"Briggs, John,",,,random,0
njp.32101068142908,not,obscure,1845,1794,m,us,25791,0.331656733263,"Lewis, Alonzo,","Love, forest flowers, and sea shells",,random,0
uc1.b165960,rev,known,1855,1831,m,uk,55723,0.676385229131,"Lytton, Edward Robert Bulwer Lytton,",Clytemnestra ; The earl's return ; The artist ; and other poems,ER,reviewed,1
mdp.39015051715038,not,obscure,1912,0,,,36690,0.675702093167,anonymous1,"Georgian poetry, 1911-1912",,random,0
njp.32101067706885,not,obscure,1845,1825,f,uk,12725,0.325312843377,"Bingham, Frances Lydia.","Hubert; or, The orphans of St. Madelaine",,random,0
uc1.b798791,rev,known,1879,1838,m,us,57351,0.459008184942,"Ryan, Abram Joseph,",Father Ryan's poems,ATL,reviewed,1
uc2.ark+=13960=t0gt5hn4z,rev,known,1912,1886,f,us,12898,0.710956051769,"Akins, Zoë,",Interpretations,PMV,reviewed,1
loc.ark+=13960=t4dn4r64d,rev,known,1897,1833,m,us,25362,0.553201345969,"Stedman, Edmund Clarence,","Poems, now first collected",ATL,reviewed,1
hvd.32044058247099,rev,known,1842,1809,m,uk,28917,0.705666039899,"Tennyson, Alfred Tennyson,",Poems in two volumes,GrM,"Norton, in-set",1
mdp.39015004731116,rev,known,1869,1812,m,uk,77598,0.55634965365,"Browning, Robert,",The ring and the book,FR,"Norton, in-set",1
loc.ark+=13960=t3vt2bg76,not,obscure,1882,1814,f,uk,1390,0.447681747198,"[Valentine, Laura Jewry,",The tempest,,random,0
uc2.ark+=13960=t76t0hr98,rev,known,1869,1833,m,us,24246,0.578474116014,"Stedman, Edmund Clarence,",The blameless prince,ATL,reviewed,1
uc1.b4100495,rev,known,1915,1880,m,uk,8344,0.616114323961,"Stephens, James,",Songs from the clay,PMV,reviewed,1
hvd.32044058223066,rev,known,1833,1796,m,uk,27029,0.489233355987,"Coleridge, Hartley,",Poems,QR,reviewed,1
loc.ark+=13960=t4xh06r18,not,known,1855,1836,m,us,12493,0.424281774346,"Winter, William,",Poems,,random,0
nyp.33433075838023,rev,known,1895,1823,f,us,16781,0.641325442334,"Stoddard, Elizabeth,",Poems,ATL,reviewed,1
uc2.ark+=13960=t9p26w55v,rev,known,1878,1831,f,uk,72318,0.545963985572,"Phillips, Susan K.",On the seaboard,COR,reviewed,1
nyp.33433075741730,rev,known,1867,1825,m,us,32286,0.618122483149,"Taylor, Bayard,",The picture of St. John,FR,reviewed,1
hvd.hxgf8x,not,obscure,1820,1775,m,uk,13758,0.330875455,"Watson, James,",The spirit of the doctor,,random,0
uc2.ark+=13960=t1bk1c13v,not,obscure,1875,1841,m,uk,20707,0.610295660136,"Rhoades, James,",Timoleon;,,random,0
uc1.b260737,rev,known,1870,1840,m,us,18958,0.672218334138,"Weeks, Robert Kelley,",Episodes and lyric pieces,ATL,reviewed,1
